index,Winddir,Windspeed,Gust_Factor,visability,Condition,cloudCover,ceiling,temp,dew,alt,Conditions
661,0,12,18,2,0.25,7,7,-1,-2,2979,P
662,80,7,0,10,0,0,0,-5,-7,3000,P
663,350,8,0,10,0,0,0,-6,-8,3006,P
664,100,4,0,10,0,7,37,-2,-8,3019,P
665,30,11,16,10,0,0,0,-8,-10,2982,P
666,100,9,0,4,10,7,2,-2,-4,2970,P
667,50,11,0,10,0,7,14,-6,-8,3004,P
668,350,8,0,10,0,0,0,-6,-8,3006,P
669,0,0,0,2,3.25,7,4,0,-1,3012,P
670,0,0,0,2,3.25,7,4,0,-1,3012,P
671,70,7,0,10,0,0,0,-7,-12,2995,P
672,60,12,0,10,0,0,0,-7,-11,2995,P
673,0,0,0,7,0,0,0,-12,-13,3045,P
674,70,8,0,9,0,0,0,-6,-8,3037,P
675,150,6,0,10,0,7,90,11,6,3012,P
676,0,0,0,2,3.25,5,18,-2,-3,3020,P
677,70,17,0,10,0,0,0,-3,-6,3013,P
678,70,8,0,10,0,0,0,-8,-12,3001,P
679,80,7,0,10,0,0,0,-3,-7,3011,P
680,0,0,0,7,1.25,4,4,4,3,3017,P
681,90,4,0,1,3.25,6,9,-1,-3,3028,P
682,350,10,0,10,0,0,0,-11,-15,3021,P
683,0,0,0,10,0,0,0,-7,-11,3039,P
684,350,5,0,10,0,0,0,0,-5,3052,P
685,360,3,0,10,0,0,0,0,-7,3052,P
686,0,0,0,10,0,0,0,-2,-5,3051,P
687,0,0,0,10,0,0,0,1,-7,3052,P
688,60,3,0,1,3.25,5,6,-1,-2,3027,P
689,100,5,0,8,0,0,0,-12,-14,3034,P
690,90,15,0,4,10,7,9,-4,-5,3007,P
691,0,0,0,10,0,0,0,-11,-16,3038,P
692,70,8,0,6,3.25,4,24,-7,-9,3000,P
693,20,6,0,10,0,0,0,-8,-11,3006,P
694,140,3,0,10,0,0,0,-10,-16,3036,P
695,50,3,0,9,0,0,0,-13,-16,3032,P
696,50,5,0,2,10,7,7,2,0,2976,P
697,80,9,0,10,0,0,0,-1,-7,3038,P
698,100,12,0,10,0,0,0,-3,-7,3017,P
699,320,3,0,10,0,0,0,-12,-16,3039,P
700,50,9,0,10,0,0,0,3,-5,3056,P
701,80,6,0,10,0,0,0,3,-6,3039,P
702,0,0,0,5,10,4,19,-1,-3,3019,P
703,80,10,0,10,0,0,0,-5,-8,3012,P
704,20,3,0,9,0,0,0,-13,-16,3031,P
705,80,3,0,10,0,0,0,-1,-6,3057,P
706,0,0,0,10,0,0,0,-2,-7,3057,P
707,330,12,0,10,0,0,0,-3,-9,3000,P
708,0,0,0,4,10,7,9,-4,-6,3004,P
709,100,14,0,4,10,7,8,-4,-6,3005,P
710,70,9,0,10,0,0,0,2,-8,3048,P
711,70,9,0,10,0,0,0,-5,-8,3009,P
712,60,4,0,10,0,0,0,-7,-12,2998,P
713,90,14,0,10,0,0,0,5,1,2981,P
714,60,11,17,10,0,6,95,1,-2,2976,P
715,50,13,0,10,0,0,0,1,-3,2978,P
716,340,15,0,4,1.25,6,4,4,4,2979,P
717,310,4,16,10,0,0,0,2,-2,3042,P
718,190,5,0,10,0,6,120,-12,-14,3045,P
719,20,5,0,10,0,0,0,-10,-12,3003,P
720,80,5,0,10,0,7,110,-4,-9,3002,P
721,280,2,0,10,0,0,0,-17,-21,3047,P
722,30,7,0,10,0,0,0,2,-2,3004,P
723,0,0,0,10,0,0,0,-7,-9,3004,P
724,350,2,0,7,0,0,0,1,-3,3004,P
725,140,15,0,4,10,7,4,-1,-2,2982,P
726,50,5,0,10,0,7,79,-5,-11,3004,P
727,40,4,0,10,0,7,100,-4,-9,3002,P
728,0,0,0,10,0,0,0,2,-1,3017,P
729,30,11,0,10,0,0,0,-2,-4,2971,P
730,290,8,0,8,0,0,0,-7,-11,3002,P
731,100,11,19,10,0,0,0,3,-1,2969,P
732,360,4,0,10,0,0,0,2,-2,2971,P
733,40,4,0,10,0,0,0,-1,-4,2973,P
734,20,7,0,2,10,7,3,2,1,2967,P
735,0,20,0,8,3.25,7,9,1,-1,2975,P
736,90,14,0,10,0,0,0,-1,-4,2982,P
737,100,11,17,10,1.25,7,48,1,-2,2973,P
738,50,7,0,10,0,0,0,-3,-5,2975,P
739,20,9,0,10,0,0,0,-5,-8,2979,P
740,200,5,0,4,10,7,4,-8,-9,3009,P
741,0,0,0,10,0,0,0,-1,-6,2993,P
742,90,14,0,10,0,0,0,-1,-4,2982,P
743,90,14,0,10,0,0,0,-1,-4,2982,P
744,270,4,0,10,0,0,0,-9,-10,3009,P
745,250,4,0,10,0,0,0,4,1,2945,P
746,250,4,0,10,0,0,0,4,1,2945,P
747,60,11,0,10,0,0,0,-7,-11,2982,P
748,10,7,0,4,1.25,7,3,4,3,2946,P
749,350,7,0,10,0,0,0,1,0,2964,P
750,120,5,0,10,0,0,0,-4,-5,3012,P
751,10,7,0,4,10,7,2,3,2,2963,P
752,360,13,0,7,1.25,7,2,2,1,2962,P
753,0,0,0,10,0,0,0,-8,-11,3004,P
754,250,4,0,10,1.25,4,12,3,2,2937,P
755,60,11,0,0,1.25,7,3,3,3,2945,P
756,120,10,0,1,10,8,2,4,4,2993,P
757,110,16,21,10,0,7,26,2,-1,2971,P
758,200,8,0,10,0,0,0,3,-2,3012,P
759,70,13,0,4,3.25,7,7,1,1,2940,P
760,0,0,0,10,0,0,0,2,-3,3020,P
761,140,7,0,10,0,7,100,-1,-3,3006,P
762,80,7,0,7,8,7,12,-2,-5,2975,P
763,100,22,0,10,1.25,7,9,1,0,2963,P
764,50,11,21,3,3.25,5,14,-3,-5,2965,P
765,200,9,0,10,0,0,0,3,-2,3025,P
766,90,14,0,1,3.25,5,16,0,-1,2971,P
767,100,22,0,10,1.25,7,9,1,0,2963,P
